BERTOL, Paula María;PRO;Cdad. Aut. Bs. As.;1;2;1;1;1;1;1;1;1;1;9;1;1;2;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1
BERTONE, Rosana Andrea;FPV;Tierra del Fuego;2;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2
BIANCHI, Ivana María;PF;San Luis;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;0;0;9;1;1;9
BIDEGAIN, Gloria;FPV;Buenos Aires;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2
BLANCO de PERALTA, Blanca;FPV;Santa Cruz;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2
BONASSO, Miguel Luis;OTROS;Cdad. Aut. Bs. As.;0;1;1;1;0;1;1;1;0;0;0;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
BRILLO, José Ricardo;OTROS;Neuquén;0;1;1;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1
BRUE, Daniel Agustín;FCxS;Santiago del Estero;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2
BULLRICH, Patricia;CC;Cdad. Aut. Bs. As.;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;1;9;1;1;1;1;1;1;1;1;0;0;1;1;1
BURYAILE, Ricardo;UCR;Formosa;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;2;2;2;2;2;2;2;2;1;1;1;2;1;1;1;2;2;2;2;1
CALCHAQUI, Mariel;FPV;Tierra del Fuego;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2
CAMAÑO, Graciela;OTROS;Buenos Aires;0;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;9;1;1;1;0;2;2;2;2;2
CARCA, Elisa Beatriz;CC;Buenos Aires;0;1;2;1;2;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;2;2;1;1;0;9;1;2;2;1;1;1;1;1;1;1;1;1;1;9;1
CARDELLI, Jorge Justo;OTROS;Cdad. Aut. Bs. As.;0;2;9;1;0;2;2;2;0;0;0;1;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1
CARLOTTO, Remo Gerardo;FPV;Buenos Aires;0;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;1;1;1;1
CARRANZA, Carlos Alberto;PF;Santa Fe;1;2;2;2;1;1;1;1;1;1;0;2;1;2;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;0;0;1;2;1
CARRIO, Elisa María;CC;Cdad. Aut. Bs. As.;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2
CASAÑAS, Juan Francisco;UCR;Tucumán;1;2;2;2;2;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;1;1;1;1;1;1;0;2;2;2;2;2
CASELLES, Graciela María;FPV;San Juan;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2
CASTALDO, Norah Susana;UCR;Tucumán;1;1;1;1;1;1;1;1;9;9;9;1;1;2;1;1;1;1;1;1;9;2;2;2;2;2;2;2;2;2;1;1;1;1;2;0;9;0;1;9;1
CASTAÑON, Hugo;UCR;Rio Negro;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2
CEJAS, Jorge Alberto;FPV;Rio Negro;0;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9;1;1;1;1;1;1;1;0;1;1;1;1
CHEMES, Jorge Omar;UCR;Entre Ríos;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1
CHIENO, Maria Elena;FPV;Corrientes;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1
CHIQUICHANO, Rosa Laudelina;FPV;Chubut;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;2;2;2;2;1
